block_key,product_id
linksys,10011646
linksys,10140760
linksys,10333846
linksys,10333848
linksys,10343605
linksys,10346525
linksys,10365096
linksys,200924629
linksys,202046565
linksys,202104453
linksys,202882380
linksys,202899626
linksys,203514371
linksys,205817166
linksys,206181767
linksys,206462228
linksys,206576716
linksys,206576717
linksys,206671732
linksys,208226470
netgear,10221960
netgear,10315184
netgear,10353206
netgear,10388980
netgear,10412590
netgear,10412788
netgear,201700823
netgear,201744288
netgear,204549804
belkin,10246269
belkin,10360978
belkin,10363243
belkin,90105654
belkin,202003159
belkin,203165921
belkin,203165922
belkin,203166120
belkin,205567912
belkin,206928452
belkin,209310279
belkin,209704118
lacie,10316920
lacie,204740975
lacie,204937142
lacie,205728900
lacie,206615080
lacie,206615085
lacie,206783256
lacie,206783262
canon,10326220
canon,90139585
canon,90140498
canon,90141687
canon,90142591
canon,201692648
canon,201692660
canon,201692665
canon,201692677
canon,201692679
canon,201692695
canon,201692705
canon,201953021
canon,201953025
canon,201953026
canon,201953029
canon,201953039
canon,202026554
canon,202451162
canon,202472204
canon,202785722
canon,202861078
canon,203185276
canon,203201062
canon,203343197
canon,203347464
canon,203388440
canon,203396159
canon,203514304
canon,203514305
canon,204222207
canon,204679142
canon,204734549
canon,204736197
canon,205557530
canon,205557539
canon,205557540
canon,205599984
canon,205599985
canon,205664938
canon,205838157
canon,206362623
canon,206808430
canon,206808431
canon,206808432
canon,206808434
canon,206808440
canon,206808441
canon,206808445
canon,206928378
canon,206928380
canon,206928384
canon,206928388
canon,206928390
canon,206928744
canon,207390671
canon,207643190
canon,207643194
canon,207645242
canon,207654105
canon,207654106
canon,207986293
canon,208131008
canon,208190046
canon,208464207
canon,208893667
canon,208937347
canon,209114551
canon,209114552
canon,209122918
canon,209122921
canon,209122924
canon,209199789
canon,209208718
canon,209208719
canon,209253738
canon,209253739
canon,209273200
canon,209310241
canon,209310243
canon,209310245
canon,209310248
canon,209634135
canon,209705777
canon,209705778
canon,210252385
canon,210254965
canon,210399746
canon,210399777
canon,210536123
kensington,10333368
kensington,202070807
kensington,204588748
kensington,207979206
tripp,10351869
tripp,201854347
logitech,10363070
logitech,10380060
logitech,201935116
logitech,201935171
logitech,202145734
logitech,202238311
logitech,202989028
logitech,203329569
logitech,203329570
logitech,204740188
